Shape,Ag(in^2),Ae(in^2),Yielding_ASD(kips),Yielding_LRFD(kips),Rupture_ASD(kips),Rupture_LRFD(kips)
W8x10,2.96,2.22,88.6,133,72.2,108
W10x12,3.54,2.66,106,159,86.5,130
W8x13,3.84,2.88,115,173,93.6,140
W12x14,4.16,3.12,125,187,101,152
W10x15,4.41,3.31,132,198,108,161
W8x15,4.44,3.33,133,200,108,162
W12x16,4.71,3.53,141,212,115,172
W10x17,4.99,3.74,149,225,122,182
W8x18,5.26,3.95,157,237,128,193
W12x19,5.57,4.18,167,251,136,204
W10x19,5.62,4.22,168,253,137,206
W8x21,6.16,4.62,184,277,150,225
W12x22,6.48,4.86,194,292,158,237
W14x22,6.49,4.87,194,292,158,237
W10x22,6.49,4.87,194,292,158,237
W8x24,7.08,5.31,212,319,173,259
W10x26,7.61,5.71,228,342,186,278
W12x26,7.65,5.74,229,344,187,280
W16x26,7.68,5.76,230,346,187,281
W14x26,7.69,5.77,230,346,188,281
W8x28,8.25,6.19,247,371,201,302
W12x30,8.79,6.59,263,396,214,321
W10x30,8.84,6.63,265,398,215,323
W14x30,8.85,6.64,265,398,216,324
W16x31,9.13,6.85,273,411,223,334
W8x31,9.13,6.85,273,411,223,334
W10x33,9.71,7.28,291,437,237,355
W14x34,10,7.5,299,450,244,366
W18x35,10.3,7.73,308,464,251,377
W12x35,10.3,7.73,308,464,251,377
W8x35,10.3,7.73,308,464,251,377
W16x36,10.6,7.95,317,477,258,388
W14x38,11.2,8.4,335,504,273,410
W10x39,11.5,8.63,344,518,280,421
W12x40,11.7,8.78,350,527,285,428
W8x40,11.7,8.78,350,527,285,428
W18x40,11.8,8.85,353,531,288,431
W16x40,11.8,8.85,353,531,288,431
W14x43,12.6,9.45,377,567,307,461
W21x44,13,9.75,389,585,317,475
W12x45,13.1,9.83,392,590,319,479
W16x45,13.3,9.98,398,599,324,487
W10x45,13.3,9.98,398,599,324,487
W18x46,13.5,10.1,404,608,328,492
W21x48,14.1,10.6,422,635,345,517
W14x48,14.1,10.6,422,635,345,517
W8x48,14.1,10.6,422,635,345,517
W10x49,14.4,10.8,431,648,351,527
W12x50,14.6,11,437,657,358,536
W21x50,14.7,11,440,662,358,536
W18x50,14.7,11,440,662,358,536
W16x50,14.7,11,440,662,358,536
W14x53,15.6,11.7,467,702,380,570
W12x53,15.6,11.7,467,702,380,570
W10x54,15.8,11.9,473,711,387,580
W24x55,16.2,12.2,485,729,397,595
W21x55,16.2,12.2,485,729,397,595
W18x55,16.2,12.2,485,729,397,595
W21x57,16.7,12.5,500,752,406,609
W16x57,16.8,12.6,503,756,410,614
W12x58,17,12.8,509,765,416,624
W8x58,17.1,12.8,512,770,416,624
W18x60,17.6,13.2,527,792,429,644
W10x60,17.7,13.3,530,797,432,648
W14x61,17.9,13.4,536,806,436,653
W24x62,18.2,13.7,545,819,445,668
W21x62,18.3,13.7,548,824,445,668
W18x65,19.1,14.3,572,860,465,697
W12x65,19.1,14.3,572,860,465,697
W16x67,19.6,14.7,587,882,478,717
W8x67,19.7,14.8,590,887,481,722
W10x68,19.9,14.9,596,896,484,726
W21x68,20,15,599,900,488,731
W14x68,20,15,599,900,488,731
W24x68,20.1,15.1,602,905,491,736
W18x71,20.9,15.7,626,941,510,765
W12x72,21.1,15.8,632,950,514,770
W21x73,21.5,16.1,644,968,523,785
W14x74,21.8,16.4,653,981,533,800
W18x76,22.3,16.7,668,1000,543,814
W24x76,22.4,16.8,671,1010,546,819
W16x77,22.6,17,677,1020,553,829
W10x77,22.7,17,680,1020,553,829
W12x79,23.2,17.4,695,1040,566,848
W14x82,24,18,719,1080,585,878
W21x83,24.4,18.3,731,1100,595,892
W27x84,24.7,18.5,740,1110,601,902
W24x84,24.7,18.5,740,1110,601,902
W18x86,25.3,19,757,1140,618,926
W12x87,25.6,19.2,766,1150,624,936
W10x88,26,19.5,778,1170,634,951
W16x89,26.2,19.7,784,1180,640,960
W30x90,26.3,19.7,787,1180,640,960
W14x90,26.5,19.9,793,1190,647,970
W21x93,27.3,20.5,817,1230,666,999
W27x94,27.6,20.7,826,1240,673,1010
W24x94,27.7,20.8,829,1250,676,1010
W12x96,28.2,21.2,844,1270,689,1030
W18x97,28.5,21.4,853,1280,696,1040
W30x99,29,21.8,868,1310,709,1060
W14x99,29.1,21.8,871,1310,709,1060
W10x100,29.3,22,877,1320,715,1070
W16x100,29.4,22.1,880,1320,718,1080
W21x101,29.8,22.4,892,1340,728,1090
W27x102,30,22.5,898,1350,731,1100
W24x103,30.3,22.7,907,1360,738,1110
W24x104,30.7,23,919,1380,748,1120
W18x106,31.1,23.3,931,1400,757,1140
W12x106,31.2,23.4,934,1400,761,1140
W30x108,31.7,23.8,949,1430,774,1160
W14x109,32,24,958,1440,780,1170
W21x111,32.6,24.5,976,1470,796,1190
W10x112,32.9,24.7,985,1480,803,1200
W27x114,33.6,25.2,1010,1510,819,1230
W30x116,34.2,25.7,1020,1540,835,1250
W24x117,34.4,25.8,1030,1550,839,1260
W33x118,34.7,26,1040,1560,845,1270
W18x119,35.1,26.3,1050,1580,855,1280
W12x120,35.2,26.4,1050,1580,858,1290
W14x120,35.3,26.5,1060,1590,861,1290
W21x122,35.9,26.9,1070,1620,874,1310
W30x124,36.5,27.4,1090,1640,891,1340
W27x129,37.8,28.4,1130,1700,923,1380
W33x130,38.3,28.7,1150,1720,933,1400
W18x130,38.3,28.7,1150,1720,933,1400
W24x131,38.6,29,1160,1740,943,1410
W30x132,38.8,29.1,1160,1750,946,1420
W21x132,38.8,29.1,1160,1750,946,1420
W14x132,38.8,29.1,1160,1750,946,1420
W36x135,39.9,29.9,1190,1800,972,1460
W12x136,39.9,29.9,1190,1800,972,1460
W33x141,41.5,31.1,1240,1870,1010,1520
W18x143,42,31.5,1260,1890,1020,1540
W14x145,42.7,32,1280,1920,1040,1560
W24x146,43,32.3,1290,1940,1050,1570
W27x146,43.2,32.4,1290,1940,1050,1580
W21x147,43.2,32.4,1290,1940,1050,1580
W30x148,43.6,32.7,1310,1960,1060,1590
W40x149,43.8,32.9,1310,1970,1070,1600
W36x150,44.3,33.2,1330,1990,1080,1620
W12x152,44.7,33.5,1340,2010,1090,1630
W33x152,44.9,33.7,1340,2020,1100,1640
W18x158,46.3,34.7,1390,2080,1130,1690
W14x159,46.7,35,1400,2100,1140,1710
W36x160,47,35.3,1410,2120,1150,1720
W27x161,47.6,35.7,1430,2140,1160,1740
W24x162,47.8,35.9,1430,2150,1170,1750
W21x166,48.8,36.6,1460,2200,1190,1780
W40x167,49.3,37,1480,2220,1200,1800
W33x169,49.5,37.1,1480,2230,1210,1810
W36x170,50,37.5,1500,2250,1220,1830
W12x170,50,37.5,1500,2250,1220,1830
W30x173,50.9,38.2,1520,2290,1240,1860
